2014-12-30 10:57:36 status half-installed libncurses5:i386 5.9+20140118-1ubuntu1
2014-12-30 10:57:36 status unpacked libncurses5:i386 5.9+20140118-1ubuntu1
2014-12-30 10:57:36 status unpacked libncurses5:i386 5.9+20140118-1ubuntu1
2014-12-30 10:57:37 install libncursesw5:i386 <none> 5.9+20140118-1ubuntu1
2014-12-30 10:57:37 status half-installed libncursesw5:i386 5.9+20140118-1ubuntu1
2014-12-30 10:57:37 status unpacked libncursesw5:i386 5.9+20140118-1ubuntu1
2014-12-30 10:57:37 status unpacked libncursesw5:i386 5.9+20140118-1ubuntu1
2014-12-30 10:57:37 install libnih-dbus1:i386 <none> 1.0.3-4ubuntu25
2014-12-30 10:57:37 status half-installed libnih-dbus1:i386 1.0.3-4ubuntu25
2014-12-30 10:57:37 status unpacked libnih-dbus1:i386 1.0.3-4ubuntu25
2014-12-30 10:57:37 status unpacked libnih-dbus1:i386 1.0.3-4ubuntu25
2014-12-30 10:57:37 install libnih1:i386 <none> 1.0.3-4ubuntu25
2014-12-30 10:57:37 status half-installed libnih1:i386 1.0.3-4ubuntu25
2014-12-30 10:57:37 status unpacked libnih1:i386 1.0.3-4ubuntu25
2014-12-30 10:57:37 status unpacked libnih1:i386 1.0.3-4ubuntu25
2014-12-30 10:57:37 install libpam-modules:i386 <none> 1.1.8-1ubuntu2
2014-12-30 10:57:37 status half-installed libpam-modules:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 status unpacked libpam-modules:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 status unpacked libpam-modules:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 install libpam-modules-bin:i386 <none> 1.1.8-1ubuntu2
2014-12-30 10:57:37 status half-installed libpam-modules-bin:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 status unpacked libpam-modules-bin:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 status unpacked libpam-modules-bin:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2014-12-30 10:57:37 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2014-12-30 10:57:37 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-12-30 10:57:37 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-12-30 10:57:37 install libpam0g:i386 <none> 1.1.8-1ubuntu2
2014-12-30 10:57:37 status half-installed libpam0g:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 status unpacked libpam0g:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 status unpacked libpam0g:i386 1.1.8-1ubuntu2
2014-12-30 10:57:37 install libpcre3:i386 <none> 1:8.31-2ubuntu2
2014-12-30 10:57:37 status half-installed libpcre3:i386 1:8.31-2ubuntu2
2014-12-30 10:57:37 status unpacked libpcre3:i386 1:8.31-2ubuntu2
2014-12-30 10:57:37 status unpacked libpcre3:i386 1:8.31-2ubuntu2
2014-12-30 10:57:37 install libplymouth2:i386 <none> 0.8.8-0ubuntu17
2014-12-30 10:57:37 status half-installed libplymouth2:i386 0.8.8-0ubuntu17
